variable,before,after
American Kestrel,2.047043321,-1.15531916
American Kestrel,1.712610767,-0.747579696
American Kestrel,1.504001454,-0.902932413
American Kestrel,1.209734002,-1.314069521
American Kestrel,1.784158661,-1.191944227
American Kestrel,2.310184136,-0.86474452
American Kestrel,2.009070296,-1.296120051
American Kestrel,1.70389793,-0.997690563
American Kestrel,1.679719498,-1.034234739
American Kestrel,2.178570011,-0.732018681
American Kestrel,1.616814385,-1.002379957
American Kestrel,1.601219085,-1.036962875
American Kestrel,1.7269967,-0.969490414
American Kestrel,1.554949892,-0.868049205
American Kestrel,2.052953112,-1.105647805
American Kestrel,2.64248527,-1.377232824
American Kestrel,1.789411607,-1.034352647
American Kestrel,2.082133686,-0.972919618
American Kestrel,1.716415719,-1.019645082
American Kestrel,1.514191669,-0.94215186
American Kestrel,2.091681263,-0.899233311
American Kestrel,2.046500261,-0.974822548
American Kestrel,2.26920273,-1.104270836
American Kestrel,2.138963779,-1.129718916
American Kestrel,1.791660381,-1.095732009
American Kestrel,1.829516324,-0.788337736
American Kestrel,2.304746059,-1.063457559
American Kestrel,1.504176937,-0.921219828
American Kestrel,2.385278213,-0.985577695
American Kestrel,1.480047497,-1.275649518
American Kestrel,2.544754195,-0.769944626
American Kestrel,1.961421297,-0.778555614
American Kestrel,2.185786392,-1.027503717
American Kestrel,2.130962084,-1.197891221
American Kestrel,2.066606582,-0.880055289
American Kestrel,1.632243789,-1.164370278
American Kestrel,1.595870605,-0.781210206
American Kestrel,1.868263288,-1.224784335
American Kestrel,1.925465987,-0.678192394
American Kestrel,2.402174359,-1.163602445
American Kestrel,1.528975645,-0.938002738
American Kestrel,1.880979313,-0.918605858
American Kestrel,1.389918563,-1.181432452
American Kestrel,2.333570668,-0.66512183
American Kestrel,2.141508774,-1.077552638
American Kestrel,1.767992023,-1.01082675
American Kestrel,1.79408469,-0.773464898
American Kestrel,1.792451966,-0.93134954
American Kestrel,1.312828639,-1.248561361
American Kestrel,2.152314976,-1.143633057
American Kestrel,2.028014622,-0.755999476
American Kestrel,1.180560258,-0.761572866
American Kestrel,2.342331879,-1.127491995
American Kestrel,2.220563591,-1.047893479
American Kestrel,1.753222185,-1.503164705
American Kestrel,2.22185308,-1.185492711
American Kestrel,1.976285256,-0.862863348
American Kestrel,1.590915192,-1.188196703
American Kestrel,1.743125086,-0.957659638
American Kestrel,2.115131473,-1.050006653
American Kestrel,1.930718487,-1.016294588
American Kestrel,2.586458216,-0.936514163
American Kestrel,1.320316966,-1.176569711
American Kestrel,2.138313509,-0.830917355
American Kestrel,1.718509523,-1.118590668
American Kestrel,2.041466879,-1.150560684
American Kestrel,2.185677265,-1.016031621
American Kestrel,1.698317692,-0.577505496
American Kestrel,2.201578045,-0.944856468
American Kestrel,2.254905657,-0.945451908
American Kestrel,1.636584544,-0.89712518
American Kestrel,1.36486754,-0.765245427
American Kestrel,1.998188232,-0.790558183
American Kestrel,1.897114674,-0.876761387
American Kestrel,2.087084224,-0.988143542
American Kestrel,1.472977441,-0.803853824
American Kestrel,2.275191365,-1.223603207
American Kestrel,1.989533207,-1.09480012
American Kestrel,1.999137919,-1.146649173
American Kestrel,0.965838338,-0.767883953
American Kestrel,2.343335,-0.993522429
American Kestrel,1.889956898,-1.132357294
American Kestrel,2.004867025,-1.153975849
American Kestrel,2.859069349,-0.898135527
American Kestrel,1.550870155,-1.048004998
American Kestrel,1.804783036,-0.944884173
American Kestrel,2.126361161,-1.210926999
American Kestrel,1.799629309,-0.667001668
American Kestrel,2.048503448,-1.275706859
American Kestrel,1.417714548,-0.776210321
American Kestrel,2.341178369,-1.258981397
American Kestrel,1.611858478,-0.679546382
American Kestrel,1.753866212,-1.407507261
American Kestrel,2.568144345,-1.133036778
American Kestrel,1.606024616,-1.129243732
American Kestrel,1.844605456,-0.771513636
American Kestrel,1.727598685,-1.273012029
American Kestrel,1.28224575,-0.706005008
American Kestrel,2.219432161,-1.077270931
American Kestrel,2.328011701,-0.764816495
American Kestrel,2.022924498,-0.899752691
American Kestrel,2.204874059,-1.378194149
American Kestrel,2.062206852,-0.869438396
American Kestrel,2.083278414,-0.843483382
American Kestrel,1.814872184,-0.700189729
American Kestrel,2.467611115,-1.031424324
American Kestrel,2.281946231,-1.096526468
American Kestrel,1.73247944,-0.771882315
American Kestrel,2.077776665,-1.036144765
American Kestrel,2.622914957,-1.163703993
American Kestrel,2.404770534,-1.040356143
American Kestrel,1.895218923,-0.933939694
American Kestrel,1.870433079,-0.975799339
